ASN|ConnectionType|CountryCode|DNSResolver|IPAddress|Network|ProbeID|TestDateTime|IPTarget|rtt1|rtt2|rtt3|avg_rtt
37671|WIFI|TN|193.95.57.24|197.15.16.225|Globalnet|3dac5d73-9bc9-4a3f-9d2e-0f5677913f60|/Date(1561163815722+0000)/|8.8.8.8|42|41|41|41
37671|Wireless80211|TN|193.95.57.26|197.15.36.142|Globalnet|8c2264aa-0770-46fd-b9af-0f3e3545a697|/Date(1561163807981+0000)/|9.9.9.9|87|101|65|84
2609|WIFI|TN|41.230.92.0|41.230.92.52|TOPNET|d611e9d3-abe5-48d2-81e8-dc92742c1328|/Date(1561163810205+0000)/|9.9.9.9|85|103|101|96
37671|WIFI|TN||196.235.53.143|Globalnet|a904d9b9-7cad-4bd2-a542-a6beb16b0d94|/Date(1561163810959+0000)/|9.9.9.9|64|80|80|74
37492|WIFI|TN|197.26.8.35|196.235.4.200|Orange Tunisie|b4fefd5b-474d-477c-806b-a7074998cb31|/Date(1561163811304+0000)/|9.9.9.9|90|90|91|90
37671|WIFI|TN|193.95.57.26|197.15.236.206|Globalnet|a572db2f-0f16-4468-ac86-c9889bd0c1ef|/Date(1561163814763+0000)/|9.9.9.9|81|80|76|79
37705|WIFI|TN|41.226.22.50|102.159.80.162|TOPNET|19196efb-44df-4bf8-b087-3a5ed76797c3|/Date(1561163814891+0000)/|9.9.9.9|71|67|67|68
37705|WIFI|TN|102.159.137.0|102.159.137.159|TOPNET|fae5b479-4fc1-4d96-924a-b6eaa8e82c61|/Date(1561163815449+0000)/|9.9.9.9|86|79|250|138
37705|WIFI|TN|197.2.60.0|197.2.60.198|TOPNET|b2f8fa28-e922-438a-9beb-3656e39a4548|/Date(1561163819644+0000)/|9.9.9.9|70|73|72|71
37671|WIFI|TN|193.95.57.26|197.15.16.225|Globalnet|84c55b62-22d7-4473-af66-23e1fd3fb6c6|/Date(1561163819923+0000)/|9.9.9.9|1132|88|88|436
37705|WIFI|TN|41.226.22.50|102.159.158.113|TOPNET|4a8948ec-369f-4d4d-bcf2-78574497a592|/Date(1561163821060+0000)/|9.9.9.9|64|68|74|68
37203|Unknown|LR||164.160.8.87|PowerNet Liberia|25707c2f-685b-4d41-bd3a-d23d5939a48d|/Date(1561163850522+0000)/|1.1.1.1|90|90|88|89
37203|Unknown|LR||164.160.8.87|PowerNet Liberia|25707c2f-685b-4d41-bd3a-d23d5939a48d|/Date(1561163850660+0000)/|8.8.8.8|114|115|113|114
37203|Unknown|LR||164.160.8.87|PowerNet Liberia|25707c2f-685b-4d41-bd3a-d23d5939a48d|/Date(1561163851009+0000)/|9.9.9.9|117|115|119|117
36920|WIFI|NG|41.223.65.1|102.67.2.41|KKON|73f029ec-4b09-49f6-9e24-6e910b01d7c1|/Date(1561163817489+0000)/|1.1.1.1|15|35|20|23
37682|wifi|NG||102.176.244.190|tizeti trois route|3226f126-e0e0-495b-b5fc-61f54684c56b|/Date(1561163858222+0000)/|1.1.1.1|8|3|3|4
36920|WIFI|NG|41.223.65.1|102.67.2.41|KKON|73f029ec-4b09-49f6-9e24-6e910b01d7c1|/Date(1561163822495+0000)/|8.8.8.8|17|14|10|13
37682|wifi|NG||102.176.244.190|tizeti trois route|3226f126-e0e0-495b-b5fc-61f54684c56b|/Date(1561163858351+0000)/|8.8.8.8|3|4|3|3
36920|WIFI|NG|41.223.65.1|102.67.2.41|KKON|73f029ec-4b09-49f6-9e24-6e910b01d7c1|/Date(1561163824549+0000)/|9.9.9.9|15|14|15|14
37682|wifi|NG||102.176.244.190|tizeti trois route|3226f126-e0e0-495b-b5fc-61f54684c56b|/Date(1561163858485+0000)/|9.9.9.9|120|129|120|123
37164|Ethernet|SL|197.215.105.0|197.215.105.10|Airtel(SL) Ltd|ddedba94-69fb-472d-9645-84ffb318895b|/Date(1561163820152+0000)/|1.1.1.1|134|131|133|132
37164|Ethernet|SL|197.215.105.0|197.215.105.10|Airtel(SL) Ltd|ddedba94-69fb-472d-9645-84ffb318895b|/Date(1561163823559+0000)/|8.8.8.8|118|118|118|118
37164|Ethernet|SL|197.215.105.0|197.215.105.10|Airtel(SL) Ltd|ddedba94-69fb-472d-9645-84ffb318895b|/Date(1561163826898+0000)/|9.9.9.9|133|134|132|133
8346|Wireless80211|SN|41.208.148.120|154.125.167.47|SONATEL Societe Nationale Des Telecommunications D|868ac648-3271-42f1-a936-e77b170b833f|/Date(1561163822104+0000)/|1.1.1.1|82|361|85|176
8346|Wireless80211|SN|213.154.64.5|41.82.13.219|SONATEL|ef7f09b5-6c05-4669-9f6e-a7939efec6dd|/Date(1561163867117+0000)/|1.1.1.1||||-1
8346|Wireless80211|SN|41.208.148.120|154.125.167.47|SONATEL Societe Nationale Des Telecommunications D|868ac648-3271-42f1-a936-e77b170b833f|/Date(1561163828124+0000)/|8.8.8.8|295|268|261|274
8346|Wireless80211|SN|213.154.64.5|41.82.13.219|SONATEL|ef7f09b5-6c05-4669-9f6e-a7939efec6dd|/Date(1561163867116+0000)/|8.8.8.8||||-1
8346|Wireless80211|SN|41.208.148.120|154.125.167.47|SONATEL Societe Nationale Des Telecommunications D|868ac648-3271-42f1-a936-e77b170b833f|/Date(1561163833842+0000)/|9.9.9.9|278|328|235|280
8346|Wireless80211|SN|213.154.64.5|41.82.13.219|SONATEL|ef7f09b5-6c05-4669-9f6e-a7939efec6dd|/Date(1561163865931+0000)/|9.9.9.9||||-1
24691|Ethernet,Ethernet,Ethernet|TG|41.207.160.45|196.171.204.44|Togo Telecom|bf182cb2-f94d-41fb-8ee1-3d480c69966a|/Date(1561163820754+0000)/|1.1.1.1|102|103|102|102
24691|Ethernet,Ethernet,Ethernet|TG|41.207.160.45|196.171.204.44|Togo Telecom|bf182cb2-f94d-41fb-8ee1-3d480c69966a|/Date(1561163824437+0000)/|8.8.8.8|110|110|110|110
24691|Ethernet,Ethernet,Ethernet|TG|41.207.160.45|196.171.204.44|Togo Telecom|bf182cb2-f94d-41fb-8ee1-3d480c69966a|/Date(1561163827743+0000)/|9.9.9.9|27|27|27|27
15399|WIFI|KE|41.212.33.99|102.140.245.135|Wananchi Group (Kenya) Limited|e6a17576-193f-490d-9c54-ed11f7efc77e|/Date(1561163824755+0000)/|1.1.1.1|27|38|43|36
15399|WIFI|KE|196.207.132.0|196.207.132.218|Wananchi Group Kenya|d1d3c909-435e-4822-932c-9fd550fea7fe|/Date(1561163827141+0000)/|1.1.1.1|18|18|19|18
30844|fiber|KE||41.72.207.30|Liquid Telecommunications Operations Limited|06f758af-a1be-4fa0-9c9d-506c471af39f|/Date(1561163859178+0000)/|1.1.1.1|57|57|57|57
15399|WIFI|KE|41.212.33.99|102.140.245.135|Wananchi Group (Kenya) Limited|e6a17576-193f-490d-9c54-ed11f7efc77e|/Date(1561163825058+0000)/|8.8.8.8|42|40|31|37
15399|WIFI|KE|196.207.132.0|196.207.132.218|Wananchi Group Kenya|d1d3c909-435e-4822-932c-9fd550fea7fe|/Date(1561163827123+0000)/|8.8.8.8|12|16|24|17
30844|fiber|KE||41.72.207.30|Liquid Telecommunications Operations Limited|06f758af-a1be-4fa0-9c9d-506c471af39f|/Date(1561163859307+0000)/|8.8.8.8|7|7|7|7
37061|fiber|KE||41.90.12.102|Safaricom|a4be008c-815b-4861-83ce-118965889591|/Date(1561163859448+0000)/|8.8.8.8|4|4|4|4
