ASN,ConnectionType,CountryCode,DNSResolver,IPAddress,Network,ProbeID,TestDateTime,Server,QueryTime,Status
37705,Wireless80211,TN,197.0.198.0,197.0.198.56,TOPNET,cb7509fb-80e8-45a2-9f81-d458301542db,/Date(1561112846153+0000)/,8.8.8.8,100,NoError
2609,Ethernet,TN,172.253.14.4,197.10.128.5,Tunisie Telecom,0cd8db1a-1f3e-4d1d-aeb0-f29d165dcb5d,/Date(1561112846156+0000)/,9.9.9.9,55,NoError
37705,Wireless80211,TN,197.0.198.0,197.0.198.56,TOPNET,cb7509fb-80e8-45a2-9f81-d458301542db,/Date(1561112847732+0000)/,9.9.9.9,128,NoError
327724,Wireless80211,UG,154.72.192.21,154.72.195.106,National Information Technology Authority Uganda,5047a02c-5ae3-4186-abc0-fcdc64b50915,/Date(1561112853304+0000)/,1.1.1.1,4654,NoError
327724,Wireless80211,UG,154.72.192.21,154.72.195.106,National Information Technology Authority Uganda,5047a02c-5ae3-4186-abc0-fcdc64b50915,/Date(1561112856461+0000)/,8.8.8.8,4501,NoError
327724,Wireless80211,UG,154.72.192.21,154.72.195.106,National Information Technology Authority Uganda,5047a02c-5ae3-4186-abc0-fcdc64b50915,/Date(1561112862367+0000)/,9.9.9.9,4501,NoError
37457,Wireless80211,ZA,196.43.50.229,105.186.246.237,Telkom Internet,2ec75c21-6154-446c-a898-e1d5b770beb9,/Date(1561112847072+0000)/,1.1.1.1,40,NoError
37457,Ethernet,ZA,196.43.42.232,105.225.85.156,Telkom Internet,627b3e16-ba7d-4768-a121-28017acbf3a8,/Date(1561112847076+0000)/,1.1.1.1,27,NoError
11845,Wireless80211,ZA,74.125.73.85,41.193.129.130,JHB FTTB Framed Routes,39d17338-1733-4563-89a2-5c4eca819b36,/Date(1561112847136+0000)/,1.1.1.1,5,NoError
3741,Wireless80211,ZA,168.209.88.204,197.100.27.193,Internet Solutions,8643da6f-e6b4-45a1-a68e-a11dc2f15380,/Date(1561112849560+0000)/,1.1.1.1,47,NoError
37457,Wireless80211,ZA,196.43.46.231,105.184.191.67,Telkom Internet,b2ce9a9f-05a3-4f6c-be29-2fbb5ccd62fd,/Date(1561112850514+0000)/,1.1.1.1,240,NoError
10474,Wireless80211,ZA,196.28.182.24,197.89.87.16,MWEB,5b482a4c-a0df-4c9c-8214-0980a24bc0f3,/Date(1561112881087+0000)/,1.1.1.1,2330,ServFail
37457,Ethernet,ZA,196.43.42.232,105.225.85.156,Telkom Internet,627b3e16-ba7d-4768-a121-28017acbf3a8,/Date(1561112848159+0000)/,8.8.8.8,26,NoError
3741,Wireless80211,ZA,168.209.88.204,197.100.27.193,Internet Solutions,8643da6f-e6b4-45a1-a68e-a11dc2f15380,/Date(1561112851767+0000)/,8.8.8.8,51,NoError
37457,Wireless80211,ZA,196.43.46.231,105.184.191.67,Telkom Internet,b2ce9a9f-05a3-4f6c-be29-2fbb5ccd62fd,/Date(1561112860619+0000)/,8.8.8.8,1732,NoError
